"","reg5","reg7","income","gender","age","edu1","edu2","occ","group","pq1","pq2","pq3","pq4","partyID","pq6","ideology","pq8","pq9","pq10","treat","direct","indirect","q3","q4","q5","q6","q7","q8","q9","party","party_f","party_lib","party_con","ideo_f","ideo_con","ideo_lib","college","korean_war","men"
"1",3,3,0,2,44,1,1,0,0,1,14,2,2,8,0,"Moderate",2,2,4,2,3,1,4,2,1,2,5,4,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"2",3,2,1,2,55,3,2,0,0,1,1,1,1,7,0,"Don't know",2,1,3,2,1,2,4,2,1,1,5,5,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"3",3,7,3,1,42,3,2,4,0,1,4,4,2,7,0,"Lib",2,1,3,1,2,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"4",4,6,1,2,56,4,2,2,0,1,11,11,3,3,1,"Lib",1,1,4,1,2,3,4,3,3,2,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"5",3,6,2,2,41,6,0,0,0,1,10,1,2,8,0,"Don't know",1,1,3,1,1,2,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"6",2,3,5,1,40,4,1,4,0,1,7,3,1,7,0,"Moderate",2,1,2,5,3,3,4,3,2,3,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,1
"7",1,1,0,2,21,3,1,0,0,1,1,1,2,3,2,"Moderate",1,1,3,5,2,3,2,2,2,3,4,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,0
"8",2,4,5,1,30,4,1,0,0,1,10,1,2,7,0,"Moderate",1,1,4,1,3,2,4,3,1,1,1,1,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,1
"9",3,5,2,2,51,4,2,2,0,1,13,1,2,7,0,"Lib",3,1,5,5,3,1,3,2,3,2,3,4,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"10",3,2,9,2,52,3,2,0,0,1,10,10,2,7,0,"Con",1,4,3,5,3,2,3,3,3,3,4,3,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"11",3,3,1,1,53,6,0,0,0,1,13,13,2,8,0,"Don't know",3,3,4,2,3,3,3,3,3,3,3,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,1
"12",3,6,3,2,38,4,2,0,0,1,9,9,2,7,0,"Moderate",1,1,5,5,3,3,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,0
"13",3,6,4,1,45,3,2,4,0,1,9,9,2,8,0,"Con",1,1,5,1,2,1,3,3,2,3,3,2,1,"Don't know","Don't know",0,0,"Con",1,0,0,0,1
"14",1,1,7,2,27,4,2,3,0,1,14,14,1,3,2,"Lib",3,1,5,3,3,2,3,2,2,2,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"15",3,3,3,2,55,3,2,0,0,1,14,14,2,4,1,"Moderate",1,1,3,3,1,3,4,3,3,2,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,0
"16",3,2,2,2,38,4,2,0,0,1,11,1,1,3,2,"Lib",2,1,5,3,2,3,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"17",3,5,2,2,44,3,1,3,0,1,10,10,2,3,1,"Lib",1,3,3,1,1,2,4,4,4,4,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"18",1,1,3,2,39,4,2,0,0,1,10,10,2,2,2,"Lib",3,2,3,3,1,1,4,3,3,3,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,0
"19",3,2,4,2,46,4,2,3,0,1,12,12,2,3,2,"Lib",1,1,4,2,2,2,4,4,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"20",3,2,1,1,20,3,1,0,0,1,15,8,2,7,0,"Moderate",1,1,4,5,1,1,3,3,3,3,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"21",2,3,3,1,59,4,2,3,0,1,3,3,1,2,2,"Con",1,1,5,4,2,2,3,2,2,1,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,1
"22",3,2,0,2,68,2,2,9,0,1,13,13,1,2,1,"Lib",2,1,1,2,2,3,3,3,3,3,3,1,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,0,1,0
"23",2,2,4,1,70,4,2,3,0,1,12,4,1,5,2,"Moderate",1,1,3,4,2,2,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,1,1
"24",3,2,3,2,55,5,1,2,0,1,10,10,2,7,0,"Con",1,2,3,1,2,3,4,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"25",3,6,2,2,55,3,2,5,0,1,15,15,2,4,2,"Moderate",1,4,3,2,3,2,5,5,5,3,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,0
"26",4,7,2,2,50,4,2,3,0,1,5,5,3,4,2,"Con",2,3,4,2,3,1,1,1,1,1,1,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,0
"27",2,2,5,1,45,3,2,4,0,1,9,9,1,7,0,"Don't know",3,1,5,2,3,3,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,1
"28",3,7,2,2,64,4,2,2,0,1,11,11,2,7,0,"Lib",2,1,3,4,2,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Lib",0,1,1,0,0
"29",1,1,4,2,31,4,2,2,0,1,1,1,1,3,1,"Lib",1,1,3,5,2,2,3,3,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"30",3,2,1,1,22,3,1,0,0,1,1,8,2,1,2,"Con",1,4,5,3,2,3,3,3,2,3,4,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,1
"31",2,5,0,1,33,4,2,0,0,1,10,6,1,7,0,"Con",1,1,3,3,3,2,5,2,2,2,4,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"32",1,1,2,2,49,6,0,0,0,1,1,1,1,8,0,"Don't know",1,3,1,3,1,2,3,5,1,4,5,3,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"33",3,2,10,2,40,4,2,1,0,1,1,1,1,7,0,"Con",1,1,5,3,1,2,3,3,1,1,3,3,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"34",3,2,3,2,59,3,2,5,0,1,15,8,2,1,2,"Con",1,2,3,4,3,4,4,4,2,2,4,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"35",2,4,0,2,45,6,0,5,0,1,11,11,1,7,0,"Con",1,1,5,5,2,2,5,5,5,5,5,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"36",2,5,4,1,40,4,2,3,0,1,6,6,1,3,2,"Lib",1,1,3,4,3,2,2,2,1,2,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"37",1,1,3,1,36,6,0,3,0,1,2,1,1,3,2,"Con",1,1,4,4,2,2,2,1,1,1,5,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Con",1,0,0,0,1
"38",3,2,8,2,31,3,2,0,0,1,8,8,2,7,0,"Lib",2,2,5,1,3,1,4,4,4,3,4,3,1,"No Party","No Party",0,0,"Lib",0,1,0,0,0
"39",3,2,11,1,43,4,2,1,0,1,10,1,1,3,1,"Lib",1,1,4,2,2,3,1,1,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"40",3,6,2,2,48,5,1,3,0,1,1,1,2,7,0,"Con",1,3,3,5,2,4,5,5,1,5,5,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"41",3,2,8,1,28,4,1,0,0,1,8,8,2,1,2,"Lib",3,2,4,5,3,4,2,3,2,2,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Lib",0,1,1,0,1
"42",3,3,6,1,49,4,2,3,0,1,13,13,2,7,0,"Con",1,1,4,4,1,3,4,4,4,4,4,4,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"43",3,5,8,2,60,5,1,0,0,1,1,1,2,3,2,"Lib",1,1,3,1,2,2,4,2,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"44",2,5,3,1,25,4,1,0,0,1,8,8,2,3,2,"Moderate",2,3,4,1,2,1,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"45",2,2,5,1,47,4,2,3,0,1,4,3,1,3,2,"Moderate",1,1,3,4,2,2,4,3,2,4,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"46",3,5,5,1,58,3,2,3,0,1,14,14,1,7,0,"Lib",1,3,3,4,4,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Lib",0,1,0,0,1
"47",1,1,7,1,36,4,2,3,0,1,1,1,1,3,1,"Lib",2,1,3,1,2,1,3,4,4,4,2,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"48",3,2,2,1,62,5,1,5,0,1,14,1,2,7,0,"Con",1,1,3,2,2,3,4,2,2,3,4,4,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"49",2,2,4,2,54,2,2,9,0,1,10,10,1,1,2,"Con",1,3,3,2,2,1,3,2,2,2,3,3,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,0
"50",1,1,2,1,53,4,2,0,0,1,10,1,1,5,2,"Moderate",1,1,3,2,2,3,4,3,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"51",2,4,2,2,22,2,2,0,0,1,14,3,2,8,0,"Don't know",2,4,3,4,2,1,3,2,1,1,4,4,1,"Don't know","Don't know",0,0,"Don't know",0,0,0,0,0
"52",2,7,1,2,62,3,2,9,0,1,12,11,1,3,2,"Lib",3,1,3,2,2,2,3,1,1,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"53",3,2,1,2,24,5,1,0,0,1,1,1,2,7,0,"Moderate",1,1,4,4,2,2,4,2,1,2,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,1,0,0
"54",1,1,7,1,39,4,1,2,0,1,1,1,1,7,0,"Lib",1,4,5,5,3,3,3,4,1,3,3,3,1,"No Party","No Party",0,0,"Lib",0,1,1,0,1
"55",3,2,1,1,62,5,1,0,0,1,10,10,2,2,2,"Con",1,1,3,5,1,2,5,5,5,5,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,1
"56",3,2,1,1,54,4,2,0,0,1,12,1,2,3,2,"Moderate",2,1,5,4,2,2,2,2,1,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"57",3,7,0,1,59,3,2,6,0,1,11,11,2,3,1,"Con",1,1,3,2,3,3,5,3,3,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Con",1,0,0,0,1
"58",4,3,4,1,49,3,2,4,0,1,15,15,3,1,2,"Moderate",1,1,4,1,3,1,4,2,1,2,4,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,1
"59",2,2,3,2,50,4,1,1,0,1,2,2,1,3,2,"Moderate",2,3,3,4,3,3,4,4,4,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,0
"60",3,2,4,1,42,4,2,3,0,1,2,2,2,3,2,"Lib",1,1,4,5,3,2,4,2,1,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"61",1,1,3,2,28,4,2,3,0,1,1,1,2,3,2,"Lib",1,3,1,5,3,2,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"62",3,2,2,1,69,4,2,0,0,1,13,3,1,1,2,"Con",1,1,1,5,3,3,3,3,3,3,5,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,1,1
"63",3,2,2,1,54,3,2,4,0,1,1,1,2,7,0,"Moderate",1,1,4,4,2,3,4,2,2,2,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"64",2,4,2,2,53,3,2,0,0,1,3,3,1,7,0,"Moderate",1,4,3,3,2,2,3,1,1,1,5,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"65",4,5,2,2,36,3,2,0,0,1,10,10,3,7,0,"Don't know",1,1,4,3,1,2,4,1,1,1,1,2,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"66",2,2,2,2,51,3,2,0,0,1,14,11,1,7,0,"Moderate",2,1,3,4,2,2,2,2,1,2,3,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"67",3,2,2,1,55,3,2,4,0,1,8,12,2,4,2,"Moderate",3,3,3,2,2,2,3,2,2,2,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,1
"68",3,3,2,2,62,3,2,0,0,1,14,14,2,3,2,"Lib",1,1,3,4,3,3,2,2,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"69",3,2,3,1,50,3,2,4,0,1,13,1,2,7,0,"Moderate",1,1,4,1,1,3,3,4,2,4,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"70",1,1,4,2,54,3,2,9,0,1,14,14,1,3,2,"Lib",1,3,3,4,3,4,3,2,2,2,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
