 Q,X,reg5,reg7,income,gender,age,edu1,edu2,occ,group,answered1,time1,pq1,pq2,pq3,pq4,pq5,pq6,pq7,pq8,pq9,pq10,z2,answered2,time2,q1,q2,q3,q4,q5,q6,q7,q8,q9
36610,420533,3,3,0,2,44,1,1,0,0,1,0:41:15,1,14,2,2,8,0,3,2,2,4,2,1,1:15:38,3,1,4,2,1,2,5,4,1
8463,78473,3,2,1,2,55,3,2,0,0,1,1:37:29,1,1,1,1,7,0,6,2,1,3,2,1,1:12:30,1,2,4,2,1,1,5,5,1
17553,231396,3,7,3,1,42,3,2,4,0,1,0:02:31,1,4,4,2,7,0,2,2,1,3,1,1,1:12:14,2,2,3,3,3,3,3,3,1
21810,313779,4,6,1,2,56,4,2,2,0,1,0:01:42,1,11,11,3,3,1,2,1,1,4,1,1,1:08:17,2,3,4,3,3,2,5,5,1
41011,448770,3,6,2,2,41,6,0,0,0,1,0:01:23,1,10,1,2,8,0,6,1,1,3,1,1,1:00:35,1,2,3,3,3,3,3,3,1
30912,380966,2,3,5,1,40,4,1,4,0,1,0:01:12,1,7,3,1,7,0,3,2,1,2,5,1,0:54:21,3,3,4,3,2,3,4,4,1
43245,460085,1,1,0,2,21,3,1,0,0,1,2:02:20,1,1,1,2,3,2,3,1,1,3,5,1,0:43:27,2,3,2,2,2,3,4,3,1
16121,192701,2,4,5,1,30,4,1,0,0,1,0:01:17,1,10,1,2,7,0,3,1,1,4,1,1,0:40:28,3,2,4,3,1,1,1,1,1
49058,480977,3,5,2,2,51,4,2,2,0,1,0:02:51,1,13,1,2,7,0,2,3,1,5,5,1,0:25:12,3,1,3,2,3,2,3,4,1
59894,534141,3,2,9,2,52,3,2,0,0,1,0:16:46,1,10,10,2,7,0,4,1,4,3,5,1,0:24:02,3,2,3,3,3,3,4,3,1
22754,326489,3,3,1,1,53,6,0,0,0,1,0:01:11,1,13,13,2,8,0,6,3,3,4,2,1,0:23:23,3,3,3,3,3,3,3,3,1
29234,371747,3,6,3,2,38,4,2,0,0,1,0:01:33,1,9,9,2,7,0,3,1,1,5,5,1,0:22:42,3,3,1,1,1,1,5,5,1
66698,559088,3,6,4,1,45,3,2,4,0,1,0:03:36,1,9,9,2,8,0,4,1,1,5,1,1,0:21:08,2,1,3,3,2,3,3,2,1
51581,489961,1,1,7,2,27,4,2,3,0,1,0:00:36,1,14,14,1,3,2,2,3,1,5,3,1,0:20:51,3,2,3,2,2,2,3,4,1
65594,556295,3,3,3,2,55,3,2,0,0,1,0:09:14,1,14,14,2,4,1,3,1,1,3,3,1,0:18:13,1,3,4,3,3,2,3,3,1
